Year,O1Exp,O2Exp,O3Exp,S1Spend,S2Spend
1,55000,18000,0,35000,12000
2,55000,18000,0,35000,12000
3,55000,18000,0,35000,12000
4,55000,18000,0,35000,12000
5,55000,18000,0,35000,12000
6,55000,18000,15000,35000,12000
7,55000,18000,15000,35000,12000
8,55000,18000,15000,35000,12000
9,55000,18000,15000,35000,12000
10,55000,18000,15000,35000,12000
11,55000,18000,15000,35000,12000
12,55000,18000,15000,35000,12000
13,55000,18000,15000,35000,12000
14,55000,18000,15000,35000,12000
15,55000,18000,15000,35000,12000
16,55000,18000,15000,35000,12000
17,55000,18000,15000,35000,12000
18,55000,12000,15000,30000,10000
19,55000,12000,15000,30000,10000
20,50000,12000,15000,30000,10000
21,50000,12000,15000,30000,10000
22,50000,12000,15000,30000,10000
23,50000,12000,0,25000,8000
24,50000,12000,0,25000,8000
25,50000,12000,0,25000,8000
26,45000,0,0,22000,0
27,45000,0,0,22000,0
28,45000,0,0,22000,0
29,45000,0,0,22000,0
30,45000,0,0,22000,0
31,45000,0,0,22000,0
32,45000,0,0,22000,0
33,45000,0,0,22000,0
34,45000,0,0,22000,0
35,45000,0,0,22000,0
36,45000,0,0,22000,0
37,45000,0,0,22000,0
38,45000,0,0,22000,0
39,45000,0,0,22000,0
40,45000,0,0,22000,0